Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,CU18,NZDep2018
5,1.0,1429.0,1355000,-36.9783779,174.87017790000002,7008654,54,36,33,21,12,24,29,180,8.0
3,2.0,57.0,530000,-36.956313200000004,174.8457959,7008385,66,42,39,15,12,12,10,189,9.0
2,1.0,1040.0,1080000,-36.8019237,175.1080146,7003396,24,3,6,12,27,27,4,111,5.0
4,3.0,343.0,830000,-36.60987670000001,174.7026638,7001550,48,15,15,27,27,69,5,195,2.0
5,2.0,11000.0,1080000,-36.8484597,174.7633315,7005277,15,63,36,6,12,0,10,138,8.0
4,2.0,396.0,545000,-36.864999299999994,174.6118191,7003697,36,33,12,27,18,15,12,144,9.0
6,3.0,809.0,910000,-36.8705171,174.55521930000003,7003433,33,24,24,18,36,15,5,144,1.0
2,1.0,70.0,500000,-36.970710700000005,174.86786519999998,7008631,15,30,21,9,18,15,29,111,9.0
6,4.0,1201.0,2550000,-36.9303095,174.9267783,7009277,57,24,21,24,48,51,2,222,1.0
5,4.0,450.0,1775000,-36.688455100000006,174.7460598,7002019,24,6,12,15,6,3,6,69,3.0
5,4.0,9107.0,2400000,-36.7700201,174.6594109,7001795,36,9,12,15,21,21,1,120,2.0
2,1.0,809.0,1120000,-36.7859279,175.0117572,7003343,27,18,30,24,12,21,8,126,3.0
5,3.0,394.0,560000,-37.024879299999995,174.893116,7009785,30,24,12,24,18,39,37,144,9.0
4,3.0,493.0,500000,-36.772106,174.5442431,7002186,27,27,30,15,18,21,2,138,4.0
5,3.0,305.0,2350000,-36.8781069,174.7990534,7005849,54,9,9,33,27,75,59,201,1.0
4,3.0,342.0,1500000,-36.944577100000004,174.7855209,7007919,63,27,24,27,27,39,13,207,6.0
5,3.0,411.0,500000,-37.0152994,174.9106502,7009853,33,18,27,18,24,39,37,165,3.0
5,3.0,491.0,520000,-37.0152994,174.9106502,7009853,33,18,27,18,24,39,37,165,3.0
2,1.0,1070.0,790000,-36.8423596,175.14598180000002,7003397,12,0,6,18,24,36,4,99,4.0
4,3.0,4019.0,1320000,-36.9599266,174.62746769999998,7007159,48,12,12,27,27,30,2,159,2.0
4,1.0,1115.0,1155000,-36.764640500000006,174.7228284,7002731,24,9,18,15,6,18,1,99,3.0
5,4.0,358.0,900000,-36.872083700000005,174.60459980000002,7003572,63,33,63,24,33,18,12,234,5.0
6,2.0,741.0,620000,-37.1974973,174.88973430000001,7010481,57,36,15,18,6,18,13,153,8.0
3,1.0,690.0,500000,-37.2593705,174.9463977,7011005,21,9,3,3,6,9,7,39,9.0
4,1.0,548.0,460000,-37.2593705,174.9463977,7011005,21,9,3,3,6,9,7,39,9.0
4,2.0,10000.0,1875000,-36.6849893,174.7068034,7001835,39,15,18,21,21,15,3,126,2.0
6,5.0,1083.0,2900000,-36.6159283,174.8048677,7001717,54,18,12,27,33,39,9,177,2.0
2,1.0,3488.0,650000,-36.7864177,175.0220042,7003342,24,24,21,39,27,39,8,180,5.0
2,2.0,1161.0,1200000,-36.7846297,175.0256175,7003342,24,24,21,39,27,39,8,180,5.0
5,3.0,560.0,980000,-36.996419,174.900078,7009739,27,36,15,15,30,33,3,162,5.0
6,4.0,5024.0,2350000,-36.9856753,174.9475179,7009346,90,42,27,45,75,45,25,321,2.0
3,1.0,15550.0,550000,-36.2287416,174.5458102,7001139,48,30,21,21,33,45,1,195,5.0
4,3.0,327.0,2200000,-36.9184693,174.6983382,7007478,39,33,24,24,33,63,19,219,3.0
3,2.0,151.0,510000,-36.61762879999999,174.7935301,7001696,72,21,30,60,33,45,9,258,3.0
2,1.0,56.0,460000,-36.8462653,174.7712726,7005510,24,96,51,18,18,27,10,234,7.0
3,2.0,259.0,920000,-36.7937824,174.6609445,7002295,45,24,48,15,6,12,7,147,2.0
5,3.0,985.0,1430000,-36.9321759,174.64532580000002,7007268,51,15,27,27,24,24,12,177,3.0
5,3.0,804.0,2000000,-36.9393167,174.9237217,7009186,168,66,72,69,90,84,2,543,1.0
4,2.0,400.0,860000,-36.7633771,174.5496311,7002191,54,21,24,30,24,36,4,189,3.0
3,1.0,696.0,980000,-36.874750299999995,174.8437367,7006325,45,51,33,27,24,36,7,210,8.0
4,3.0,1459.0,3175000,-36.85577429999999,174.83238469999998,7006173,39,15,12,18,21,36,11,147,1.0
5,3.0,305.0,2025000,-36.9316491,174.6961315,7007500,33,18,24,15,21,39,19,153,5.0
3,2.0,142.0,1550000,-36.8949982,174.7707909,7005621,48,30,27,33,27,21,23,192,4.0
4,3.0,741.0,1700000,-37.083594,174.91935159999997,7010004,102,33,54,60,48,36,14,333,1.0
5,3.0,553.0,1425000,-37.083399299999996,174.920226,7010004,102,33,54,60,48,36,14,333,1.0
2,1.0,70.0,505000,-36.89307279999999,174.63626090000002,7004016,60,30,33,24,21,39,6,201,9.0
3,1.0,859.0,560000,-37.026097,174.92365700000002,7009960,108,48,54,30,27,48,5,309,9.0
3,2.0,195.0,1825000,-36.8459057,174.7333068,7004875,15,21,27,24,27,66,5,174,3.0
4,3.0,305.0,2850000,-36.8517202,174.8523981,7006411,30,15,15,18,27,75,29,174,3.0
4,2.0,155.0,3375000,-36.983582500000004,174.9092662,7009103,99,84,90,30,18,18,25,336,6.0
4,2.0,183.0,810000,-36.983582500000004,174.9092662,7009103,99,84,90,30,18,18,25,336,6.0
2,1.0,830.0,850000,-36.8154295,175.0615949,7003383,42,15,21,33,36,60,2,216,7.0
4,2.0,1507.0,1200000,-36.7715362,174.4831794,7002146,39,9,33,18,21,24,2,141,1.0
4,2.0,194.0,1425000,-36.8754454,174.8215719,7006074,78,15,24,51,27,21,59,207,2.0
4,2.0,505.0,790000,-36.964149600000006,174.8227791,7008184,165,60,66,45,39,39,9,420,10.0
4,2.0,213.0,1050000,-37.07142,175.03724259999998,7010278,39,15,18,24,33,21,2,144,3.0
4,2.0,619.0,1325000,-36.9172991,174.93491219999999,7009262,30,12,15,15,15,33,2,120,2.0
4,2.0,822.0,970000,-36.905038,174.9367021,7007012,60,18,27,33,9,15,4,168,2.0
4,2.0,505.0,980000,-37.2216763,174.8968726,7010517,51,21,27,24,30,54,13,204,4.0
3,2.0,350.0,710000,-37.05657,174.94405759999998,7010105,63,24,42,18,21,33,19,201,8.0
5,3.0,751.0,2100000,-36.8878635,174.93162780000003,7006938,54,21,18,33,36,42,5,207,2.0
4,2.0,542.0,1175000,-36.932101200000005,174.68015659999998,7007452,42,15,15,21,21,27,2,144,6.0
7,2.0,357.0,1120000,-36.8635176,174.7506549,7005119,15,48,45,9,9,12,10,141,4.0
4,3.0,334.0,1700000,-36.862700200000006,174.7505971,7005119,15,48,45,9,9,12,10,141,4.0
5,4.0,376.0,1800000,-36.915095,174.8971716,7006764,51,24,30,27,9,33,5,174,7.0
5,3.0,287.0,1175000,-36.9170093,174.79789230000003,7007984,30,15,21,9,15,15,14,108,9.0
5,2.0,292.0,1175000,-36.9170093,174.79789230000003,7007984,30,15,21,9,15,15,14,108,9.0
3,2.0,121.0,1600000,-36.903153,174.7682399,7005476,30,18,9,24,18,18,23,123,5.0
3,1.0,911.0,960000,-36.8527977,174.54429869999998,7003424,78,39,33,45,24,12,3,231,4.0
4,1.0,607.0,570000,-37.0246359,174.8718344,7009576,78,30,24,24,21,21,37,198,10.0
4,2.0,800.0,1550000,-36.886546200000005,174.9237292,7006896,54,27,18,21,54,54,9,231,4.0
3,1.0,1095.0,860000,-37.2182453,174.895161,7010516,33,18,18,21,33,39,13,171,3.0
5,2.0,900.0,840000,-37.0117347,174.89435980000002,7009765,60,36,39,24,30,18,37,207,8.0
5,4.0,1298.0,2750000,-36.9079754,174.8636067,7006614,45,15,27,24,30,72,4,213,2.0
4,2.0,509.0,1080000,-36.8443017,174.6548741,7004212,27,15,24,21,27,24,10,144,3.0
3,2.0,604.0,1000000,-36.900176,174.8490858,7006464,24,39,24,12,12,27,18,141,7.0
3,2.0,347.0,770000,-36.633540100000005,174.7350362,7001648,24,24,12,30,27,27,2,156,7.0
2,2.0,362.0,580000,-37.260459399999995,174.9502378,7011006,69,18,33,30,24,45,7,213,10.0
3,2.0,752.0,890000,-37.0037766,174.9192676,7009935,63,21,21,45,36,57,4,246,1.0
4,3.0,362.0,1105000,-36.921209399999995,174.673548,7007379,36,30,36,24,24,24,10,171,4.0
2,1.0,73.0,620000,-36.9237379,174.7333768,7007621,24,36,15,24,18,21,26,138,6.0
3,1.0,713.0,940000,-36.907574,174.9217784,7009119,78,39,27,48,45,39,1,282,5.0
2,1.0,43.0,380000,-36.9930125,174.87844990000002,7008786,21,39,36,24,21,24,2,168,8.0
2,1.0,45.0,385000,-36.9930125,174.87844990000002,7008786,21,39,36,24,21,24,2,168,8.0
5,2.0,665.0,880000,-36.8687518,174.62545749999998,7003863,54,33,30,27,30,39,4,210,9.0
2,1.0,221.0,840000,-36.885465,174.816169,7006100,39,24,27,27,18,39,59,174,5.0
8,5.0,378.0,1360000,-36.985085999999995,174.91392380000002,7009108,18,18,12,15,18,18,25,99,6.0
5,3.0,664.0,1790000,-36.838611900000004,174.66054630000002,7004208,33,18,15,9,24,27,10,120,3.0
4,2.0,906.0,1125000,-36.929367600000006,174.7568343,7007737,30,18,12,24,21,12,14,129,2.0
3,2.0,397.0,1875000,-36.8712071,174.8066445,7005976,42,15,21,24,33,36,59,180,2.0
3,1.0,470.0,725000,-36.895174600000004,174.6804551,7004343,66,42,39,36,18,21,23,225,8.0
3,2.0,562.0,1025000,-36.922313700000004,174.8937192,7008926,63,51,57,39,45,78,2,336,4.0
5,3.0,5340.0,1875000,-36.9455156,174.92614790000002,7006957,45,27,21,24,24,39,2,186,3.0
5,3.0,507.0,910000,-37.011177200000006,174.91711980000002,7009944,60,24,33,27,21,18,37,186,3.0
4,2.0,403.0,860000,-37.0107023,174.9174573,7009944,60,24,33,27,21,18,37,186,3.0
5,2.0,605.0,1150000,-36.6045094,174.7932875,7001682,45,24,18,33,27,48,3,189,3.0
4,3.0,184.0,860000,-36.975556,174.836166,7008313,57,45,33,24,24,24,29,207,7.0
3,1.0,714.0,770000,-36.401192200000004,174.6712341,7001301,6,12,6,9,12,72,3,120,8.0
3,1.0,492.0,600000,-37.083348799999996,174.9381973,7010086,54,27,27,30,12,21,2,174,9.0
2,1.0,82.0,530000,-36.9133821,174.80134980000003,7008075,69,30,36,30,18,24,14,210,9.0
2,2.0,8638.0,650000,-36.305955,175.4924245,7001135,30,21,21,21,39,69,4,201,9.0
3,2.0,352.0,570000,-36.8886106,174.6563372,7004225,33,24,27,18,15,18,4,144,7.0
2,1.0,91.0,680000,-36.8478196,174.78071359999998,7005655,78,204,177,45,15,12,10,534,9.0
5,3.0,722.0,990000,-37.1867797,174.9166046,7010545,45,12,15,24,21,18,13,141,7.0
4,2.0,352.0,690000,-37.20566029999999,174.88080380000002,7010462,27,12,12,15,12,21,13,96,7.0
5,4.0,683.0,1975000,-36.868911700000005,174.797773,7005827,33,12,6,24,15,15,59,108,3.0
5,2.0,377.0,2350000,-36.8690673,174.7978168,7005827,33,12,6,24,15,15,59,108,3.0
3,2.0,1198.0,1100000,-36.8850429,175.041516,7007085,36,18,12,24,18,27,1,132,2.0
4,1.0,1136.0,610000,-37.0565761,174.9642808,7010227,48,21,27,12,18,21,19,150,9.0
4,3.0,860.0,1750000,-36.9014009,174.9468893,7007005,39,12,18,21,24,30,4,150,1.0
3,1.0,326.0,910000,-36.8228391,174.6281755,7003786,120,42,30,33,24,18,7,264,10.0
2,1.0,130.0,940000,-36.8666809,174.78046819999997,7005703,24,30,24,12,24,18,59,138,4.0
2,1.0,908.0,550000,-37.025779,174.8907126,7009667,66,30,33,21,21,18,37,183,10.0
5,4.0,1358.0,3125000,-36.8603271,174.851155,7006406,51,27,30,27,24,27,29,177,2.0
4,2.0,138.0,570000,-36.950408200000005,174.8067565,7008081,105,39,42,45,33,21,3,294,9.0
3,1.0,746.0,560000,-37.05679179999999,174.96605369999997,7010228,87,39,39,36,33,27,19,261,10.0
3,1.0,732.0,690000,-37.0778044,174.9465959,7010140,42,27,30,27,24,33,2,180,5.0
3,1.0,610.0,530000,-37.0268476,174.86908480000002,7009475,96,42,33,18,36,18,37,243,10.0
4,2.0,311.0,300000,-37.051279799999996,174.9619612,7010161,54,27,36,12,15,9,19,150,9.0
3,1.0,862.0,630000,-37.0458133,174.9145655,7009918,75,24,33,21,21,24,4,195,8.0
3,1.0,1396.0,885000,-36.8786421,174.5495642,7003427,78,24,27,48,42,48,5,267,2.0
3,2.0,2933.0,980000,-36.886068200000004,174.5424633,7003427,78,24,27,48,42,48,5,267,2.0
5,4.0,5093.0,1700000,-37.0061263,174.9303335,7010006,15,12,6,9,30,24,2,102,2.0
4,2.0,810.0,3700000,-36.8694386,174.88094519999999,7006674,33,9,9,15,21,27,2,117,1.0
5,3.0,938.0,3125000,-36.877044399999996,174.80817340000002,7005985,30,12,6,21,24,24,59,123,1.0
4,3.0,938.0,3125000,-36.877044399999996,174.80817340000002,7005985,30,12,6,21,24,24,59,123,1.0
4,3.0,403.0,2575000,-36.8604098,174.878016,7006636,45,9,15,21,36,30,10,153,1.0
5,2.0,300.0,1600000,-36.8852812,174.8103013,7006007,15,27,21,6,3,21,59,102,6.0
5,2.0,809.0,1025000,-36.8382589,174.6506283,7004073,33,21,21,18,15,18,10,135,7.0
4,3.0,251.0,2625000,-36.8539339,174.8373889,7006290,60,9,15,30,27,36,5,174,1.0
4,2.0,698.0,640000,-37.2014081,174.8914514,7010489,39,30,27,15,24,30,13,165,5.0
5,3.0,724.0,1400000,-36.887245899999996,174.9897884,7007032,48,9,12,30,30,48,6,174,1.0
3,1.0,80.0,600000,-36.9858679,174.84190130000002,7008434,78,57,51,18,15,24,29,243,9.0
2,1.0,90.0,500000,-36.902824700000004,174.6723392,7004289,57,24,36,24,18,27,10,189,8.0
5,3.0,818.0,1300000,-36.926457299999996,174.7295618,7007622,42,24,27,21,30,30,26,174,5.0
3,1.0,100.0,660000,-36.821575200000005,174.6218255,7003776,78,45,48,36,30,21,7,261,8.0
2,1.0,2256.0,680000,-36.7865104,175.0495212,7003375,36,15,21,36,27,45,4,186,5.0
6,4.0,377.0,1350000,-36.974479200000005,174.9289209,7009313,24,15,21,12,6,12,25,81,5.0
6,5.0,413.0,710000,-36.9734507,174.9263337,7009313,24,15,21,12,6,12,25,81,5.0
2,1.0,696.0,680000,-36.9398528,174.851282,7008479,51,21,30,6,15,9,10,129,10.0
2,2.0,197.0,540000,-36.8983921,174.7131434,7004644,60,45,27,18,18,21,9,192,10.0
3,2.0,216.0,1300000,-36.8474999,174.8624588,7006477,33,27,24,21,36,54,29,189,2.0
3,1.0,893.0,760000,-36.793597999999996,175.0474039,7003379,24,12,15,15,30,24,4,126,6.0
5,3.0,2188.0,1350000,-36.9182345,174.663202,7007314,21,21,18,15,24,18,12,114,5.0
4,3.0,508.0,1125000,-36.850052500000004,174.6071215,7003528,60,48,57,33,18,33,15,255,6.0
4,2.0,1012.0,1055000,-36.847053100000004,174.6064801,7003528,60,48,57,33,18,33,15,255,6.0
3,1.0,407.0,860000,-36.8553172,174.6511561,7004094,48,27,27,30,18,21,10,168,8.0
6,2.0,284.0,1350000,-36.917485600000006,174.6999272,7007477,36,12,21,33,3,33,19,135,5.0
5,4.0,516.0,2525000,-36.887315,174.79703590000003,7005867,24,12,6,21,33,27,59,117,4.0
3,1.0,80.0,440000,-37.0585226,174.9639231,7010231,90,24,30,30,15,24,19,216,10.0
5,2.0,604.0,620000,-37.0377352,174.8616483,7009503,99,42,39,27,18,18,8,240,10.0
1,1.0,70.0,430000,-36.979802,174.8581819,7008565,18,15,24,18,18,33,29,126,7.0
4,1.0,675.0,1150000,-36.9419145,174.7811504,7007914,30,21,15,9,15,30,13,126,4.0
4,1.0,703.0,1360000,-36.868787700000006,174.7357501,7004961,39,48,48,24,27,9,3,192,4.0
5,3.0,357.0,1600000,-36.8694257,174.73570880000003,7004961,39,48,48,24,27,9,3,192,4.0
2,1.0,288.0,530000,-36.9477657,174.8484897,7008494,81,39,30,24,21,24,10,210,9.0
3,1.0,481.0,795000,-36.910306,174.90779419999998,7006871,57,33,24,27,33,27,2,204,7.0
4,2.0,198.0,1500000,-36.8602016,174.8251243,7006165,24,9,21,12,21,24,13,111,10.0
7,5.0,411.0,1340000,-36.9798511,174.9091138,7009100,69,51,48,33,15,36,25,249,7.0
4,2.0,663.0,1370000,-36.7280824,174.7467457,7002987,51,15,27,21,27,18,1,153,4.0
5,3.0,750.0,1775000,-36.886354,174.90058169999998,7006819,60,18,33,36,42,42,4,222,3.0
3,2.0,587.0,2075000,-36.8825261,174.7995996,7005856,45,36,12,18,33,33,59,186,2.0
3,1.0,1233.0,915000,-36.864683500000005,174.59549619999999,7003477,51,36,33,27,27,18,12,192,10.0
3,1.0,1103.0,580000,-37.2459516,174.73980559999998,7010424,51,15,18,21,18,21,4,147,9.0
3,2.0,577.0,1275000,-36.9355287,174.6756054,7007410,81,33,39,42,33,54,2,282,3.0
4,3.0,922.0,2750000,-36.8569105,174.8564186,7006493,39,6,9,21,18,27,29,123,1.0
5,3.0,600.0,1000000,-37.0499739,174.89118019999998,7009716,57,21,27,15,30,42,6,192,6.0
4,4.0,561.0,1340000,-36.873823,174.59975409999998,7003578,102,84,78,54,42,45,12,405,1.0
4,2.0,987.0,1050000,-36.8612461,174.6513205,7004106,24,30,36,21,36,39,10,189,4.0
4,2.0,461.0,1550000,-36.8593031,174.8466779,7006403,60,6,18,39,33,39,29,189,1.0
3,2.0,150.0,630000,-36.9924403,174.89437790000002,7009726,39,33,21,12,12,21,3,138,7.0
4,3.0,7139.0,1650000,-36.7832722,174.459546,7002142,39,18,9,27,30,33,2,156,2.0
4,2.0,558.0,1000000,-36.6232582,174.7964894,7001721,78,18,57,39,15,39,9,243,2.0
4,2.0,3162.0,880000,-37.260664500000004,174.7290907,7010417,75,27,27,39,30,24,4,216,1.0
4,2.0,5884.0,1725000,-37.010292799999995,174.9195987,7009945,48,33,36,30,39,42,1,228,2.0
3,1.0,250.0,630000,-36.8673498,174.6016886,7003563,60,21,30,24,21,18,12,174,8.0
5,2.0,508.0,910000,-36.813348100000006,174.7927736,7005772,30,12,9,27,27,45,1,153,2.0
6,3.0,755.0,2950000,-36.874392,174.7604416,7005398,24,30,36,12,12,9,26,120,5.0
3,2.0,1047.0,1050000,-36.809956,174.693898,7002468,27,18,12,9,27,18,6,123,1.0
5,2.0,1002.0,920000,-36.885154,174.6569697,7004222,21,15,15,12,9,15,4,93,9.0
4,2.0,7480.0,1500000,-37.1539815,174.9593174,7010368,30,9,15,21,27,39,1,138,2.0
2,2.0,119.0,700000,-37.0510717,174.9523543,7010158,81,30,36,18,21,15,19,201,8.0
2,2.0,119.0,700000,-37.0510717,174.9523543,7010158,81,30,36,18,21,15,19,201,8.0
5,3.0,1126.0,2200000,-36.868502899999996,174.90514019999998,7006782,36,18,18,18,27,39,6,147,3.0
3,1.0,706.0,600000,-36.968728999999996,174.8119349,7008123,141,42,39,45,36,27,9,327,10.0
3,1.0,603.0,700000,-36.984773,174.8354962,7008319,36,21,21,18,21,21,29,141,7.0
5,3.0,266.0,2175000,-36.874537200000006,174.8152127,7006065,30,12,24,9,30,30,59,138,2.0
3,1.0,842.0,720000,-36.992832,174.8488498,7008321,48,30,18,12,27,24,1,159,10.0
3,1.0,1012.0,1020000,-36.86426779999999,174.6018675,7003558,36,21,21,18,21,27,12,135,8.0
4,2.0,1599.0,1150000,-36.8860015,174.9279754,7006940,69,30,27,51,24,42,5,237,4.0
6,2.0,1014.0,1300000,-36.953207,174.8454736,7008382,51,21,18,15,18,18,10,147,10.0
3,2.0,350.0,670000,-36.8618218,174.60490880000003,7003548,78,36,33,36,15,24,12,213,8.0
3,1.0,120.0,630000,-37.050791,174.861378,7009529,30,21,21,15,24,27,8,147,9.0
3,1.0,100.0,620000,-36.836371,174.6099833,7003508,69,45,39,21,24,12,15,210,8.0
3,2.0,803.0,950000,-36.8350485,174.62935259999998,7003813,33,21,21,15,24,45,15,153,2.0
3,1.0,400.0,625000,-36.98714879999999,174.8919507,7008908,120,66,51,51,18,36,3,342,8.0
2,1.0,936.0,740000,-36.9531644,174.8496839,7008498,54,39,33,24,36,30,10,213,9.0
5,3.0,1207.0,1850000,-36.8999324,174.949745,7007018,36,15,9,21,12,33,4,126,2.0
3,1.0,519.0,560000,-37.053359,174.9375378,7010039,45,39,36,21,30,33,19,195,9.0
4,2.0,1409.0,880000,-36.8525715,174.5165363,7003417,21,15,12,21,27,30,3,123,2.0
3,1.0,161.0,1380000,-36.8740206,174.75047890000002,7005168,36,33,18,27,21,24,26,159,3.0
4,2.0,956.0,880000,-36.794925899999996,174.6910567,7002449,33,24,15,21,15,15,6,120,2.0
4,1.0,607.0,1575000,-36.8758066,174.74652700000001,7005171,48,39,12,30,24,9,26,162,3.0
5,3.0,809.0,1250000,-36.965782899999994,174.8567632,7008516,48,51,24,30,15,15,29,183,5.0
3,1.0,405.0,600000,-37.0672518,174.96104499999998,7010248,24,6,9,12,9,12,19,72,9.0
4,2.0,812.0,1425000,-36.8842695,174.8693812,7006661,36,18,15,9,9,18,2,102,9.0
3,1.0,1196.0,600000,-37.0241544,174.9052145,7009887,51,27,18,12,12,15,2,135,9.0
3,1.0,1014.0,5600000,-36.908485399999996,174.8387404,7008323,30,39,30,21,27,15,18,162,9.0
4,2.0,602.0,455000,-36.6009453,174.5919841,7001358,54,30,18,30,48,48,2,231,2.0
4,3.0,437.0,1225000,-36.9237381,174.7621104,7007776,51,30,42,33,36,30,14,225,2.0
